2017-09-07 20:48:19 INFO  DistriOptimizer$:717 - caching training rdd ...
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 15600/32561][Iteration 98][Wall Clock 23.940423633s] Train 1200 in 0.080518717seconds. Throughput is 14903.367 records/second. Loss is 0.4079039. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 16800/32561][Iteration 99][Wall Clock 24.02094235s] Train 1200 in 0.091522012seconds. Throughput is 13111.6 records/second. Loss is 0.4047916. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 18000/32561][Iteration 100][Wall Clock 24.112464362s] Train 1200 in 0.099782869seconds. Throughput is 12026.112 records/second. Loss is 0.40270254. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 19200/32561][Iteration 101][Wall Clock 24.212247231s] Train 1200 in 0.224007755seconds. Throughput is 5356.9575 records/second. Loss is 0.41758752. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 20400/32561][Iteration 102][Wall Clock 24.436254986s] Train 1200 in 0.090061907seconds. Throughput is 13324.168 records/second. Loss is 0.37255847. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 21600/32561][Iteration 103][Wall Clock 24.526316893s] Train 1200 in 0.090033065seconds. Throughput is 13328.4375 records/second. Loss is 0.40425727. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 22800/32561][Iteration 104][Wall Clock 24.616349958s] Train 1200 in 0.084250229seconds. Throughput is 14243.285 records/second. Loss is 0.39119983. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 24000/32561][Iteration 105][Wall Clock 24.700600187s] Train 1200 in 0.083279066seconds. Throughput is 14409.384 records/second. Loss is 0.39572263. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 25200/32561][Iteration 106][Wall Clock 24.783879253s] Train 1200 in 0.072266014seconds. Throughput is 16605.316 records/second. Loss is 0.40273187. 
2017-09-07 20:48:56 INFO  DistriOptimizer$:295 - [Epoch 4 26400/32561][Iteration 107][Wall Clock 24.856145267s] Train 1200 in 0.075299685seconds. Throughput is 15936.321 records/second. Loss is 0.3905913. 
